rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,bom_film_id,imdb_id,tmdb_id,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region
m/10009323-broken,Q2703741,The Broken,,,,,,tt0906734,3511.0,,,,,,,,,,,
m/10009334-the_escapist,Q955057,The Escapist,,,,,escapist,tt0961728,14851.0,,,,,,,,,,,
m/10009355-sugar,Q7634730,Sugar,,,,,,tt0990413,17003.0,,,,,,,,,,,
m/10009420-quid_pro_quo,Q3270331,Quid Pro Quo,,,,,quidproquo,tt0414426,15662.0,,,,,,,,,,,
m/10009421-red,Q1765880,Red,,,,,red08,tt0972883,13200.0,,,,,,,,,,,
m/10009426-guitar,Q2411820,The Guitar,,,,,,tt0942891,16890.0,,,,,,,,,,,
m/10009460-the_road,,,,,,,,,,,,,,,,,,,,
m/10009462-g_force,Q784444,G-Force,,,,,g-force,tt0436339,19585.0,,,,,,292800000.0,Q4917,,,,
m/10009469-the_other_man,Q1192189,The Other Man,,,,,otherman,tt0974613,17606.0,,,,,,,,,,,
m/10009493-duchess,Q466514,The Duchess,,,,,duchess,tt0864761,12783.0,,,,,,,,,,,
m/10009516-women,Q1809073,The Women,,,,,women08,tt0430770,13972.0,,,,,,,,,,,
m/10009526-public_enemies,Q329448,Public Enemies,,,,,,tt1152836,11322.0,,,,,,214104620.0,Q4917,,,,
m/10009547-night_and_day,Q531261,Night and Day,,,,,,tt1176096,57859.0,,,,,,,,,,,
m/10009552-julia,Q384040,Julia,,,,,julia09,tt0903627,7351.0,,,,,,,,,,,
m/1000957-angel_and_the_badman,Q645771,Angel and the Badman,,,,,angelandthebadman,tt0039152,22356.0,,,,,,,,,,,
m/10009583-fade_to_black,Q1026732,Fade to Black,,,,,fadetoblack,tt0478149,49767.0,,,,,,,,,,,
m/1000959-angel_heart,Q493807,Angel Heart,,,,,angelheart,tt0092563,635.0,18000000.0,Q4917,,,P2130,17185632.0,Q4917,,,,
m/10009596-old_dogs,Q1229857,Old Dogs,,,,,olddogs,tt0976238,22949.0,,,,,,,,,,,
m/10009598-surrogates,Q577475,Surrogates,,,,,surrogates,tt0986263,19959.0,,,,,,,,,,,
m/10009624-promotion,Q3532038,The Promotion,,,,,promotion,tt0803057,13172.0,,,,,,,,,,,
m/10009632-notorious,Q1809958,Notorious,,,,,notorious08,tt0472198,14410.0,,,,,,,,,,,
m/10009635-soul_men,Q1122149,Soul Men,,,,,soulmen,tt1111948,14655.0,,,,,,,,,,,
m/10009636-igor,Q1766287,Igor,,,,,igor,tt0465502,14248.0,25000000.0,Q4917,,,P2130,30747504.0,Q4917,,,,
m/10009680-matador,Q7750634,The Matador,,,,,matador08,tt1186238,85097.0,,,,,,,,,,,
m/10009791-auteur,Q7714943,The Auteur,,,,,,tt0906319,31268.0,,,,,,,,,,,
m/10009799-caller,Q7721027,The Caller,,,,,,tt1049956,16422.0,,,,,,,,,,,
m/10009823-sin_nombre,Q1667482,Sin Nombre,,,,,sinnombre,tt1127715,21191.0,,,,,,,,,,,
m/10009828-house_of_sleeping_beauties,,,,,,,,,,,,,,,,,,,,
m/10009890-stone_angel,Q671397,The Stone Angel,,,,,stoneangel,tt0847897,14634.0,,,,,,,,,,,
m/10009926-alvin_and_the_chipmunks_2,Q378311,Alvin and the Chipmunks: The Squeakquel,Q4738263,Alvin and the Chipmunks in film,Q917295,Alvin and the Chipmunks,alvinandthechipmunksii,tt1231580,23398.0,,,,,,443100000.0,Q4917,,,,
m/10009929-a_christmas_tale,Q964375,A Christmas Tale,,,,,christmastale,tt0993789,8892.0,,,,,,,,,,,
m/10009980-rebound,Q939410,The Rebound,,,,,,tt1205535,24122.0,,,,,,,,,,,
m/10009992-ripple_effect,Q6109073,Ripple Effect,,,,,,tt0479140,16294.0,,,,,,,,,,,
m/1000_times_good_night,Q17103516,A Thousand Times Good Night,,,,,1000times,tt2353767,212606.0,,,,,,,,,,,
m/10010011-harold,Q5659852,Harold,,,,,harold,tt1041753,13578.0,,,,,,,,,,,
m/10010066-push,Q1129313,Push,,,,,push09,tt0465580,13455.0,,,,,,,,,,,
m/10010077-felon,,,,,,,,,,,,,,,,,,,,
m/10010131-scar,Q3475152,Scar,,,,,,tt0847520,24499.0,,,,,,,,,,,
m/10010150-unborn,Q1512857,The Unborn,,,,,unborn09,tt1139668,13788.0,,,,,,,,,,,
m/10010153-bitch_slap,Q878774,Bitch Slap,,,,,bitchslap,tt1212974,26715.0,,,,,,,,,,,
m/10010155-forever_strong,Q2479589,Forever Strong,,,,,foreverstrong,tt0840322,31451.0,,,,,,,,,,,
m/10010208-chocolate,Q466354,Chocolate,,,,,,tt1183252,15003.0,150000000.0,Q177882,,,P2130,3179014.0,Q4917,,,,
m/10010214-fireproof,Q1193385,Fireproof,,,,,fireproof,tt1129423,14438.0,,,,,,,,,,,
m/10010229-dostana,Q1251094,Dostana,,,,,dostana,tt1185420,14071.0,5000000.0,Q4917,,,P2130,,,,,,
m/10010249-the_garden,Q7735811,The Garden,,,,,garden09,tt1252486,41331.0,,,,,,,,,,,
