tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt1700841,Sausage Party,2016,140705322.0,3XnSNevPVme0Orf6mbS5HS,Sausage Party (Original Motion Picture Soundtrack),2016,127.0,6.0,0.88,22,25,4502017.0,75.03361666666666,"{'Jim Steinman', 'Eric Carmen', 'George Sipl', 'George Michael', 'JR JR', 'Jim DeMain', 'Alan Menken', 'Gary Kemp', 'Christopher Lennertz', 'F. Previte', ""O'Kelly Isley"", 'Meat Loaf', 'Hoyt Axton', 'Ronald Isley', 'Wham!', 'Three Dog Night', 'Rudolph Isley', 'The Isley Brothers', 'Spandau Ballet', 'Sausage Party Cast', 'J. Denicola'}"
tt6857112,Us,2019,256067149.0,1gkLMuAnI8U5z2yhyhhRQk,Us (Original Motion Picture Soundtrack),2019,127.0,34.0,10.17142857142857,356,35,4514747.0,75.24578333333334,"{'Michael Marshall', 'Janelle Monáe', 'Minnie Riperton', 'Luniz', 'Michael Abels'}"
tt1077368,Dark Shadows,2012,245527149.0,2thoKDXCwGxNgv4OWQ43C4,Dark Shadows (Original Motion Picture Soundtrack),2012,127.0,6.0,1.818181818181818,20,11,2601216.0,43.3536,"{'Barry White', 'Danny Elfman', 'Carpenters', 'Alice Cooper', 'Johnny Depp', 'The Moody Blues', 'T. Rex', 'Iggy Pop', 'Donovan'}"
tt0892791,Shrek Forever After,2010,752600867.0,0cRRixmgIfQpuklatHokvi,Shrek Forever After (Original Motion Picture Score),2010,127.0,20.0,10.875,174,16,2552209.0,42.53681666666667,{'Harry Gregson-Williams'}
tt2345759,The Mummy,2017,409231607.0,1YkIlSSlWoFMmS0ejpC3I6,The Mummy (Original Motion Picture Soundtrack) [Deluxe Edition],2017,150.0,19.0,5.277777777777778,190,36,7480226.0,124.67043333333334,{'Brian Tyler'}
tt0349903,Ocean's Twelve,2004,362744280.0,4r3g8g5VCM1RyawlPCcFRg,Ocean's Twelve (Music from the Motion Picture),2004,127.0,34.0,16.25,260,16,3190022.0,53.167033333333336,"{'Dave Grusin', 'David Holmes', 'John Schroeder', 'Yellow Hammer', 'Roland Vincent', 'Ornella Vanoni', 'Piero Umiliani', 'Dynastie Crisis'}"
tt0343660,50 First Dates,2004,196482882.0,564QhHk9uWBLfCSG1guclu,50 First Dates (Love Songs from the Original Motion Picture),2005,127.0,30.0,7.461538461538462,97,13,2981022.0,49.6837,"{'Mikey Dread', 'Wayne Wonder', 'Seal', 'Nicole Kea', 'Adam Sandler', 'Mark McGrath', '311', 'Wyclef Jean', 'Dryden Mitchell', 'Eve', 'Elan Atias', 'Ziggy Marley', 'Will.I.Am And Fergie', 'Jason Mraz', 'UB40'}"
tt1013752,Fast & Furious,2009,363164265.0,6Zuqq61QgvmnCfEjA8Fb4R,Fast & Furious (Original Motion Picture Score),2009,127.0,24.0,9.16,229,25,4704136.0,78.40226666666666,{'Brian Tyler'}
tt0170016,How the Grinch Stole Christmas,2000,345823040.0,5UTagyRGjK71V8fzE1Q6XO,Dr. Seuss' How the Grinch Stole Christmas (Original Motion Picture Soundtrack) - Expanded Edition,2023,115.0,21.0,5.88,147,25,4364993.0,72.74988333333333,{'James Horner'}
tt3874544,The Boss Baby,2017,527965936.0,3z7rqeUoHXCHVcnLTtAZgM,The Boss Baby (Original Motion Picture Soundtrack),2017,127.0,33.0,16.55,331,20,3979023.0,66.31705,"{'Hans Zimmer', 'Missi Hale', 'Fred Astaire', 'L.T.D.', 'Steve Mazzaro'}"
tt1661199,Cinderella,2015,543514353.0,4MaXQAzgpi1UGNNia9r7fx,Cinderella (Original Motion Picture Soundtrack),2015,127.0,55.0,34.84848484848485,1150,33,5114281.0,85.23801666666667,"{'Patrick Doyle', 'Al Hoffman', 'Lily James', 'Mack David', 'Helena Bonham Carter', 'Tommy Danvers', 'Kenneth Branagh', 'Sonna', 'Jerry Livingston'}"
tt1371111,Cloud Atlas,2012,130482868.0,76fMuwHrl5onwD32p1heYS,Cloud Atlas,2012,112.0,39.0,21.608695652173918,497,23,4654312.0,77.57186666666666,"{'Reinhold Heil', 'MDR Leipzig Radio Symphony Orchestra', 'MDR Rundfunkchor', 'Tom Tykwer', 'Kristjan Järvi', 'Johnny Klimek'}"
tt1104001,TRON: Legacy,2010,400062763.0,3AMXFnwHWXCvNr5NCCpLZI,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack),2010,127.0,63.0,47.064516129032256,1459,31,4989998.0,83.16663333333334,{'Daft Punk'}
