rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label
m/lady_on_a_train,Q1211935,Lady on a Train,,,,
m/1029261-state_fair,,,,,,
m/isle_of_the_dead,,,,,,
m/house_on_92nd_street,Q2403802,The House on 92nd Street,,,,
m/curse_of_the_cat_people,Q1887428,The Curse of the Cat People,,,,
m/mildred_pierce,Q979726,Mildred Pierce,,,,
m/and_then_there_were_none,Q2517672,And Then There Were None,,,,
m/house_of_dracula,Q1254460,House of Dracula,Q96378410,Frankenstein,,
m/lost_weekend,Q237134,The Lost Weekend,,,,
m/1003094-brief_encounter,Q814296,Brief Encounter,,,,
m/detour,Q2062566,Detour,,,,
m/they_were_expendable,Q1548954,They Were Expendable,,,,
m/leave_her_to_heaven,Q210873,Leave Her to Heaven,,,,
m/the_beast_with_five_fingers,Q1211306,The Beast with Five Fingers,,,,
m/1017237-razors_edge,Q759322,The Razor's Edge,,,,
m/1020287-stranger,Q978770,The Stranger,,,,
m/gilda,Q382307,Gilda,,,,
m/1001902-beauty_and_the_beast,,,,,,
m/bedlam,,,,,,
m/harvey_girls,Q1881769,The Harvey Girls,,,,
m/sherlock_holmes_in_terror_by_night,Q2651105,Terror by Night,,,,
m/kris-crisis,Q1066211,Crisis,,,,
m/open_city,Q721146,"Rome, Open City",,,,
m/1016591-postman_always_rings_twice,Q175018,The Postman Always Rings Twice,,,,
m/night_in_casablanca,Q1306530,A Night in Casablanca,,,,
m/shewolf_of_london,Q1169397,She-Wolf of London,,,,
m/somewhere_in_the_night,Q2757468,Somewhere in the Night,,,,
m/sherlock_holmes_dressed_to_kill,Q151994,Dressed to Kill,,,,
m/henry_v_1946,Q268055,Henry V,,,,
m/anna_and_the_king_of_siam,Q563731,Anna and the King of Siam,,,,
