,rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,p_and_a_method,share_effective,p_and_a_est,studio_rentals_est,profit_est,roi_est,gross_to_budget_multiple,breakeven_world_est,breakeven_gap,money_success_label
141,m/10009083-land_of_the_lost,Q780981,Land of the Lost,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
142,m/10009132-rec,Q754474,Rec,Q22908176,REC,,,1500000.0,Q4916,,,P2130,,,,,,,50% of production budget (heuristic),0.45,750000.0,,,,,5000000.0,,
143,m/10009138-look,Q9023658,Look,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
144,m/1000915-and_god_created_woman,Q351989,And God Created Woman,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
145,m/10009151-box,Q1346258,The Box,,,,,30000000.0,Q4917,,,P2130,33333531.0,Q4917,,,,,50% of production budget (heuristic),0.45,15000000.0,15000088.950000001,-29999911.049999997,-0.66666469,1.1111177,100000000.0,-66666469.0,bomb
146,m/10009169-man_in_the_chair,Q3285122,Man in the Chair,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
147,m/10009172-undoing,Q7884023,Undoing,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
148,m/10009176-black_water,Q880636,Black Water,,,,,,,,,,111989.0,Q259502,,2008-01-01T00:00:00Z,,,50% of production budget (heuristic),0.45,,50395.05,,,,,,
149,m/10009192-21,Q213999,21,,,,,35000000.0,Q4917,,,P2130,157927340.0,Q4917,,,,,50% of production budget (heuristic),0.45,17500000.0,71067303.0,18567303.0,0.3536629142857143,4.5122097142857145,116666666.66666666,41260673.33333334,hit
150,m/10009210-duchess_of_langeais,Q1410628,The Duchess of Langeais,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
151,m/10009212-ben_x,Q499515,Ben X,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
152,m/10009225-body_of_lies,Q578312,Body of Lies,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
153,m/10009239-passengers,Q1511480,Passengers,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
154,m/10009244-the_grand,Q280006,The Grand,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
155,m/10009253-the_hammer,Q7738683,The Hammer,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
156,m/10009254-shutter,Q659756,Shutter,,,,,8000000.0,Q4917,,,P2130,48000000.0,Q4917,,,,,50% of production budget (heuristic),0.45,4000000.0,21600000.0,9600000.0,0.8,6.0,26666666.666666664,21333333.333333336,hit
157,m/10009274-priest,Q967683,Priest,,,,,60000000.0,Q4917,,,P2130,78309131.0,Q4917,,,,,50% of production budget (heuristic),0.45,30000000.0,35239108.95,-54760891.05,-0.608454345,1.3051521833333333,200000000.0,-121690869.0,bomb
158,m/10009323-broken,Q2703741,The Broken,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
159,m/10009334-the_escapist,Q955057,The Escapist,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
160,m/10009355-sugar,Q7634730,Sugar,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
161,m/10009420-quid_pro_quo,Q3270331,Quid Pro Quo,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
162,m/10009421-red,Q1765880,Red,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
163,m/10009426-guitar,Q2411820,The Guitar,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
164,m/10009460-the_road,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
165,m/10009462-g_force,Q784444,G-Force,,,,,,,,,,292800000.0,Q4917,,,,,50% of production budget (heuristic),0.45,,131760000.0,,,,,,
166,m/10009469-the_other_man,Q1192189,The Other Man,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
167,m/10009493-duchess,Q466514,The Duchess,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
168,m/10009516-women,Q1809073,The Women,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
169,m/10009526-public_enemies,Q329448,Public Enemies,,,,,,,,,,214104620.0,Q4917,,,,,50% of production budget (heuristic),0.45,,96347079.0,,,,,,
